ID,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
11,Cash loans,F,N,Y,0,67500,101880,10827,90000,Unaccompanied,Commercial associate,Higher education,Separated,House / apartment,0.008866,-18952,-499,-8365,-2488,,1,1,0,1,1,0,Core staff,1,2,2,THURSDAY,17,0,0,0,0,0,0,Other,,0.367122166,0.726711209,0.1237,0.1285,0.9841,0.7824,0.0231,0,0.2069,0.1667,0.2083,0.1211,0.1009,0.1283,0,0,0.1261,0.1333,0.9841,0.7909,0.0233,0,0.2069,0.1667,0.2083,0.1238,0.1102,0.1337,0,0,0.1249,0.1285,0.9841,0.7853,0.0232,0,0.2069,0.1667,0.2083,0.1232,0.1026,0.1306,0,0,reg oper account,block of flats,0.1135,Panel,No,0,0,0,0,-1474,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
12,Cash loans,F,N,N,0,270000,1227901.5,52155,1129500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.031329,-14635,-751,-1419,-1131,,1,1,1,1,0,0,Managers,2,2,2,SUNDAY,15,0,0,0,0,0,0,Trade: type 7,0.10832339,0.26544817,0.41359676,0.0278,0.0715,0.9975,0.966,0.0053,0,0.1034,0.0833,0.125,0.0114,0.0227,0.0272,0,0.0287,0.0284,0.0742,0.9975,0.9673,0.0053,0,0.1034,0.0833,0.125,0.0117,0.0248,0.0283,0,0.0304,0.0281,0.0715,0.9975,0.9665,0.0053,0,0.1034,0.0833,0.125,0.0116,0.0231,0.0277,0,0.0293,reg oper account,block of flats,0.0243,"Stone, brick",No,5,0,5,0,-664,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
13,Cash loans,M,Y,Y,0,180000,104256,12370.5,90000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.019101,-18022,-3575,-8052,-1559,10,1,1,0,0,0,0,Laborers,2,2,2,MONDAY,9,0,0,0,0,1,1,Self-employed,,0.558615066,0.384206813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-1833,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
14,Cash loans,F,N,Y,0,130500,342000,16632,342000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.010276,-20924,365243,-9792,-4104,,1,0,0,1,0,0,,2,2,2,THURSDAY,9,0,0,0,0,0,0,XNA,,0.219355272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,-142,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
15,Cash loans,F,N,N,0,157500,1006920,42790.5,900000,Family,Commercial associate,Higher education,Separated,House / apartment,0.003069,-17857,-2959,-10435,-1392,,1,1,0,1,1,0,Accountants,1,3,3,WEDNESDAY,14,0,0,0,0,0,0,Industry: type 11,0.650398769,0.74757324,0.691021227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-683,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
16,Cash loans,F,Y,Y,0,81000,1255680,41629.5,1125000,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.018209,-16969,-246,-9459,-506,20,1,1,0,1,0,0,Core staff,2,3,3,THURSDAY,12,1,1,0,1,1,0,Kindergarten,0.657322738,0.511682513,0.678567689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-445,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,Cash loans,M,Y,Y,0,247500,450000,35685,450000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.01452,-19433,-2326,-2156,-2876,7,1,1,0,1,0,0,Drivers,2,2,2,FRIDAY,10,0,0,0,0,0,0,Cleaning,0.336761816,0.674337688,0.052036407,0.2124,0.0925,0.9836,0.7756,0.1866,0.08,0.069,0.3333,0.375,0.0729,0.1883,0.0731,0,0,0.2164,0.096,0.9836,0.7844,0.1883,0.0806,0.069,0.3333,0.375,0.0745,0.2057,0.0762,0,0,0.2144,0.0925,0.9836,0.7786,0.1878,0.08,0.069,0.3333,0.375,0.0742,0.1915,0.0744,0,0,reg oper account,block of flats,0.102,Panel,No,4,0,4,0,-585,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
18,Cash loans,M,Y,Y,0,76500,814041,23931,679500,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.028663,-21961,-1089,-12285,-4087,13,1,1,0,1,0,0,Security staff,2,2,2,MONDAY,8,0,0,0,0,0,0,Business Entity Type 3,,0.510059614,0.499272015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,-1502,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
19,Cash loans,F,N,N,0,126000,436500,29299.5,436500,Unaccompanied,Working,Higher education,Single / not married,With parents,0.015221,-9534,-1677,-4088,-2205,,1,1,0,1,0,0,Medicine staff,1,2,2,THURSDAY,13,0,0,0,1,1,0,Medicine,0.412195874,0.561153033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,-248,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Cash loans,M,Y,Y,0,121500,225000,12694.5,225000,Unaccompanied,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0.026392,-24166,365243,-1225,-1736,17,1,0,0,1,0,0,,2,2,2,TUESDAY,9,0,0,0,0,0,0,XNA,,0.615354472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,-983,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
21,Revolving loans,M,Y,N,0,157500,270000,13500,270000,Unaccompanied,Working,Secondary / secondary special,Single / not married,Rented apartment,0.035792,-11613,-3772,-5362,-3268,8,1,1,0,1,0,0,Laborers,1,2,2,MONDAY,13,0,0,0,0,0,0,Housing,0.261173591,0.676174261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,Cash loans,F,N,Y,0,67500,314100,13306.5,225000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.028663,-22074,365243,-2643,-4310,,1,0,0,1,0,0,,2,2,2,SUNDAY,14,0,0,0,0,0,0,XNA,,0.227658305,0.3392877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
23,Cash loans,M,Y,Y,0,135000,1065433.5,42255,913500,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.018801,-17973,-6007,-462,-1507,8,1,1,0,1,0,0,Managers,2,2,2,THURSDAY,10,0,0,0,0,0,0,Housing,0.587807449,0.464651868,0.64797686,0,0.1131,0.9791,0.7144,0.086,0.24,0.2069,0.3333,0.375,0.1474,0.1816,0.2233,0,0,0,0.1174,0.9791,0.7256,0.0868,0.2417,0.2069,0.3333,0.375,0.1508,0.1983,0.2327,0,0,0,0.1131,0.9791,0.7182,0.0865,0.24,0.2069,0.3333,0.375,0.15,0.1847,0.2273,0,0,reg oper spec account,block of flats,0.2227,Monolithic,No,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,Cash loans,F,N,Y,0,90000,391090.5,16699.5,297000,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.020246,-20405,-3152,-7262,-3962,,1,1,0,1,0,0,Sales staff,1,3,3,MONDAY,8,0,0,0,0,0,0,Business Entity Type 3,,0.371492251,5.27E-04,0.0247,0.0595,0.9717,0.6124,0.0054,0,0.1034,0.0833,0.125,0.0329,0.0202,0.0266,0,0,0.0252,0.0618,0.9717,0.6276,0.0054,0,0.1034,0.0833,0.125,0.0336,0.022,0.0277,0,0,0.025,0.0595,0.9717,0.6176,0.0054,0,0.1034,0.0833,0.125,0.0334,0.0205,0.0271,0,0,reg oper account,block of flats,0.0209,"Stone, brick",No,1,0,0,0,-588,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
25,Cash loans,M,N,Y,1,135000,225000,15349.5,225000,Family,State servant,Higher education,Married,House / apartment,0.008575,-10108,-470,-8162,-2783,,1,1,1,1,0,0,Core staff,3,2,2,MONDAY,17,0,0,0,0,0,0,Government,0.169811481,0.758619417,0.093225095,0.0825,,0.9906,0.8708,0.0441,0,0.2069,0.1667,0.2083,0,0.0672,0.0848,0,0,0.084,,0.9906,0.8759,0.0445,0,0.2069,0.1667,0.2083,0,0.0735,0.0883,0,0,0.0833,,0.9906,0.8725,0.0443,0,0.2069,0.1667,0.2083,0,0.0684,0.0863,0,0,reg oper account,block of flats,0.0908,Block,No,4,1,4,1,-331,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
26,Cash loans,M,Y,Y,3,360000,1108269,47083.5,895500,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.018029,-15367,-3375,-2575,-4080,9,1,1,0,1,1,0,Managers,5,3,2,THURSDAY,5,0,0,0,0,0,0,Construction,0.529353773,0.599467237,0.586740009,0.1186,0.1007,0.9866,0.8164,0.0601,0.16,0.1379,0.3333,0.375,0.0814,0.0967,0.1473,0,0,0.1208,0.1045,0.9866,0.8236,0.0606,0.1611,0.1379,0.3333,0.375,0.0833,0.1056,0.1534,0,0,0.1197,0.1007,0.9866,0.8189,0.0604,0.16,0.1379,0.3333,0.375,0.0828,0.0983,0.1499,0,0,reg oper account,block of flats,0.1487,Panel,No,4,0,4,0,-1792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
27,Cash loans,F,Y,Y,0,67500,545040,20547,450000,Unaccompanied,Working,Incomplete higher,Married,House / apartment,0.010276,-13399,-871,-2455,-3577,17,1,1,0,1,0,0,,2,2,2,WEDNESDAY,11,0,0,0,0,0,0,Government,0.59142429,0.718402723,0.583237926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-448,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Cash loans,F,N,N,0,225000,312768,19989,270000,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.072508,-22459,365243,-15395,-5405,,1,0,0,1,0,0,,2,1,1,FRIDAY,16,0,0,0,0,0,0,XNA,,0.778991497,0.205598139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,-1688,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5
29,Cash loans,F,N,Y,0,202500,1185120,42696,900000,Family,Working,Secondary / secondary special,Widow,House / apartment,0.011657,-15508,-2147,-8687,-4666,,1,1,0,1,0,0,,1,1,1,MONDAY,10,1,1,0,0,0,0,Government,,0.657906662,0.517296581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-1742,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
30,Cash loans,F,N,Y,0,225000,886176,27954,765000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.025164,-15539,-612,-6002,-4218,,1,1,0,1,0,0,Core staff,2,2,2,FRIDAY,11,0,0,0,0,1,1,Trade: type 7,0.728930997,0.555658338,0.694092643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,-1106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
31,Cash loans,F,N,N,0,202500,1223010,48501,1125000,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,0.04622,-17225,-4451,-8633,-758,,1,1,0,1,0,1,,1,1,1,SUNDAY,12,0,1,1,0,0,0,Business Entity Type 3,0.765363546,0.681651351,,0.0711,,0.9722,,,0,0.2414,0.125,,0.1304,,,,0.0638,0.0725,,0.9722,,,0,0.2414,0.125,,0.1333,,,,0.0675,0.0718,,0.9722,,,0,0.2414,0.125,,0.1326,,,,0.0651,,block of flats,0.0729,"Stone, brick",No,0,0,0,0,-1906,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
32,Cash loans,M,N,Y,1,135000,167076,15453,135000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.00963,-8386,-362,-2724,-1071,,1,1,0,1,1,0,Laborers,3,2,2,TUESDAY,18,0,0,0,0,0,0,Self-employed,0.2062473,0.320095996,0.75037515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-682,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
33,Cash loans,F,N,Y,0,315000,808650,23773.5,675000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.019101,-23547,365243,-3610,-4542,,1,0,0,1,0,0,,2,2,2,WEDNESDAY,10,0,0,0,0,0,0,XNA,0.849214565,0.630388232,0.646329898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,-2766,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
